Trials	Type1
1	sequence3
2	sequence3
3	sequence4
4	sequence4
5	sequence2
6	sequence1
7	sequence4
8	sequence3
9	sequence4
10	sequence1
11	sequence2
12	sequence4
13	sequence2
14	sequence2
15	sequence3
16	sequence1
17	sequence1
18	sequence2
19	sequence4
20	sequence1
21	sequence4
22	sequence1
23	sequence2
24	sequence3
25	sequence4
26	sequence3
27	sequence2
28	sequence4
29	sequence1
30	sequence2
31	sequence4
32	sequence1
33	sequence2
34	sequence4
35	sequence3
36	sequence1
37	sequence3
38	sequence1
39	sequence3
40	sequence2
